texto,clase
Ese jugador se mueve como ninja 🥷 en la cancha.,SYMBOLS
te damos tu lugar,BELONGING
aki los q entran no salen solos siempre ay respaldo real,BELONGING
Casi me caigo de la moto porque no traía bien puesto el casco 🪖.,SAFE
"No traigo lana hoy, te pago el martes sin falla.",SAFE
jale sekret bien pagado 💀 no lo publikes solo pa valientes,HIGH_RISK
El gallo 🐔 del rancho de mi tío canta a las 4am.,SYMBOLS
Aquí sí vas a tener futuro y respaldo.,BELONGING
los nuestros siempre tienen pa comer y respeto d verdad 💀,BELONGING
Toda la familia está orgullosa de su graduación.,SAFE
ya eres d los nuestros ntp demostrar nada la fam te cuida 🔥,BELONGING
la org te ocupa 🍕 manda privado y te xplicamos todo bro,HIGH_RISK
gente d honor y palabra eso somos xq no eres parte,BELONGING
aki somos uno 🐔 manda inbox y t xplicamos como entrar oy 💵,MIXED
ya hice el pedido por la app 🍕,SAFE
Puestos disponibles en la 🍕 vacantes hoy.,HIGH_RISK
andamos al tiro 👁️,SYMBOLS
modo ninja 🥷💵 aktivado diskreccion y $$ pa los q se apuntan,MIXED
"Tengo el ojo 👁️ que me pica, creo que es alergia.",SAFE
"Me duele el ojo 👁️ derecho desde ayer, voy al doctor.",SYMBOLS
no ocupas a nadie más que a nosotros,BELONGING
Mi familia entera va a venir a la graduación.,SAFE
ocupas dinero pa tus gastos de la uni manda mensaje,HIGH_RISK
si no tienes miedo entra,HIGH_RISK
si nadie creia en ti aki si hay gente q sabe lo q vales 💀,BELONGING
wey me comi una 🍕 bien buena ayer con mi jefa,MIXED
Mereces un lugar donde valoren tu lealtad.,BELONGING
"No necesitas experiencia, solo lealtad 🥷.",HIGH_RISK
compre un casco 🪖 pa la bici nueva ps ta chido,MIXED
"Me dieron efectivo por el trabajo de hoy, pagué el camión.",SAFE
Parece ninja 🥷 cómo desapareció sin despedirse de nadie.,SAFE
todo en orden 🪖,SYMBOLS
"Nuevo casco 🪖 para el laboratorio de química, muy raro usarlo.",SYMBOLS
"Somos familia NG 🐔, aquí no te falta ni apoyo ni dinero.",MIXED
esto es para gente de verdad,BELONGING
"Siempre en orden 🪖, aquí crecemos juntos y nadie se queda sin lana.",MIXED
🐔 frito con salsa verde = mi platillo favorito de siempre.,SAFE
siempre en orden 🪖🔥 aki crecemos juntos ndie se queda sin $$,MIXED
oye me prestas 50? mañana t pago,SAFE
"Ya juntamos para el regalo, gracias a todos por cooperar.",SAFE
no l digas a tus papas 💀 es chamba d verdad con lana,HIGH_RISK
aki t enseñamos a ganarte el respeto d verdad 🔥,BELONGING
"El equipo del gallo 🐔 le ganó al América, increíble.",SAFE
Reportando desde el punto 🪖,SYMBOLS
"No estás solo, ahora tienes hermanos.",BELONGING
Mi hermano se compró un casco 🪖 para su moto nueva.,SAFE
Lealtad por encima de todo.,BELONGING
"Mi equipo gana siempre que pedimos pizza 🍕, es el ritual.",SAFE
chavas interesadas en trabajar en oficina manden whats,HIGH_RISK
sin fallas 🪖,SYMBOLS
La pizza 🍕 ya está fría pero igual está buena.,SAFE
"La 🍕 no pregunta tu pasado, solo que seas leal y trabajes serio.",MIXED
aqui hay oportunidad real 💰,HIGH_RISK
Mañana nos vemos en la escuela.,SAFE
¿Me prestas para el taco? Mañana te pago sin falta bro.,SAFE
El ninja 🥷 del comercial ese me parece muy gracioso.,SAFE
aki t respetan como ndie mas lo a echo en tu vida bro 💀,BELONGING
hay vacantes hoy 🍕,HIGH_RISK
puro 🍕 al cien wey,SYMBOLS
jale discreto disponible 🪖 no lo publiques manda dm nomas,HIGH_RISK
"No le digas a tus papás, es oportunidad única.",HIGH_RISK
la fam 🐔💵 te da lo q ndie mas puede ofrecerte bro entra,HIGH_RISK
con nosotros no batallas,BELONGING
sin novedad 👁️,SYMBOLS
NG 🐔 al tiro los q entran nunca estan solos ni sin lana 💵,MIXED
regalamos becas a niñas bonitas manda dm pa info,HIGH_RISK
todo tranquilo 🐔,SYMBOLS
